127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000714
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.000415
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000342
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000396
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001358
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002168
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000317
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000334
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000401
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000333
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.000365
127.0.0.1, 2015-05-12 18:13:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2015-05-12 18:13:42, POST, /admin/default/index, HTTP/1.1, 303, 0.040701
127.0.0.1, 2015-05-12 18:13:42, GET, /admin/default/ticket/welcome/127.0.0.1.2015-05-12.18-13-39.2b02f783-632e-42b1-8c75-960b9616976b, HTTP/1.1, 200, 0.047511
127.0.0.1, 2015-05-12 18:13:42, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 200, 0.000410
127.0.0.1, 2015-05-12 18:13:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
